twitter user id,texts,class,count_mention
03eaa72711143b521c073d9ac5745923,rt special drop tribute4tribute event initiated tribute bestie heart_suit sure,nano,3
c88b607601949a0b47baa93f2e0693c5,rt celebrate metaverse fashion week hosting giveaway party_popper prizes 5000 nft ball caps 2,nano,3
c88b607601949a0b47baa93f2e0693c5,rt 1 red_envelope happy chinesenewyear 2022 red_envelope slot_machine celebration launching legendary raffle 3 exclusive nfts wrapped_gift 15 win,nano,1
0037a672f0ed64b3231bac64853a278d,rt ape ape give apes tweeting great pics atamc follow pics help remind ppl,nano,1
d2335a22712cde118b103869bfaa594f,rt giving 100 000 first 20 000 people follows retweets luna community together stronger,nano,1
729eebc9e15bf95dd30b55d894c9799a,rt high_voltage flash giveaway high_voltage prize trophy 3 sol 1 winner enter check_mark_button follow check_mark_button rt amp like check_mark_button tag 3 friends ends 4 h,nano,2
3e506c96800b45814613cc46a241385a,rt know better mega 1st half 2022 roadmap metis snapshot propo,nano,2
a847260a6a065136ef60c95e02ee1996,spooky giveaway celebrate discord giveaway ghost 20 wl ghost 1 sol check_mark_button follow check_mark_button like rt check_mark_button tag 2 friends check_mark_button join discord nftgiveaways giveaways solananft nftart,nano,1
1bc3271b139a2c06af59e579890796f7,rt airdropping rabbit tokens people completes following tasks tasks follow us like rt tag 3 friends join,nano,1
3ddbf5b440130d3ee61d4ac28018b498,rt earnings week pltr upst sofi dis rblx amc oxy ttd pton bntx coin tsn nclh,nano,1
f77549dbdcbf38126210e5d5a9db98eb,rt breaking ethereum name service crossed 2 million names ens fire hammer_and_wrench right_arrow,nano,2
1bc3271b139a2c06af59e579890796f7,rt 50 lucky users walk away 10 busd kickstart twitter spaces happening august 14 11 utc,nano,2
1bc3271b139a2c06af59e579890796f7,verifying transaction counterclockwise_arrows_button sun trial tokens claim id 686545082828 sol,nano,2
d2335a22712cde118b103869bfaa594f,rt money_with_wings win 1000 matic money_with_wings celebrate ripae polygon genesis distribution launching limited time giveaway,nano,1
3ddbf5b440130d3ee61d4ac28018b498,ctex nice pushing yq trying sunw sol moving smit low float name pr morning may get going mitq maybe ready bottom daily chart looks iinn irnt cxdc,nano,0
aaa1584ceaad35c0a52a42803965c189,rt ribbon day keycap_2 30 days christmas giveaways ribbon 300 five 5 winners 60 sol rt follow tag 2 friends,nano,1
c88b607601949a0b47baa93f2e0693c5,rt solanium giveaway thread thread 1 celebrate partnership giving away one custom solaniu,nano,2
fec182516cba4b665e2215094bbcc527,rt ok giving away 0 5 sol 5 discord invites rt like comment folded_hands folded_hands,nano,1
ef3ebcf58e6468ea3c2fb3ad79540ad4,rt boximons box already listing pancakeswap party_popper gem_stone buy box min 0 5 bnb get 1 bnb amp 1000 busd amp free 1 nfts instantl,nano,1
3e506c96800b45814613cc46a241385a,rt part ethereum long term scaling solution herb rocket metis eth,nano,2
